,height,name
1,"6'11""",Jahlil Okafor
2,"6'11""",Myles Turner
3,"6'11""",Joshua Morgan
4,"6'11""",Karl-Anthony Towns
5,"6'6""",Stanley Johnson
6,"6'6""",Justise Winslow
7,"6'10""",Trey Lyles
8,"6'10""",Ben Simmons
9,"6'7""",Jaylen Brown
10,"6'9""",Marquese Chriss
11,"6'7""",Zion Williamson
12,"6'10""",Jalen Smith
13,"6'7""",Jamison Battle
14,"6'11""",Manny Bates
15,"6'9""",Onyeka Okongwu
16,"6'9""",Akok Akok
17,"6'3""",Isaiah Stewart
18,"6'9""",Trayce Jackson-Davis
19,"6'9""",Precious Achiuwa
20,"6'5""",DAngelo Russell
21,"6'8""",Devin Booker
22,"6'9""",Brandon Ingram
23,"6'5""",Jamal Murray
24,"6'0""",Anthony Cowan
25,"5'9""",Kihei Clark
26,"5'11""",Caleb Hunter
27,"6'1""",Anthony Edwards
28,"6'1""",Max Abmas
29,"6'3""",Keaston Willis
30,"5'11""",Tyger Campbell
31,"5'10""",Carlos Paez
32,"6'4""",Talon Cooper
33,"6'0""",Yuri Collins
34,"6'3""",Nico Mannion
35,"5'11""",Jordan Lyons
36,"6'1""",Carsen Edwards
37,"6'9""",Kevin Durant
38,"6'3""",Juan Dixon
39,"6'11""",Kris Lang
40,"6'3""",Anthony Grundy
41,"6'9""",Darius Songaila
42,"6'3""",Chris Williams
43,"6'8""",Lonny Baxter
44,"6'2""",Kevin Braswell
45,"6'6""",David Graves
46,"6'7""",Preston Shumpert
47,"6'11""",Troy Murphy
48,"6'8""",Udonis Haslem
49,"6'10""",Tony Kitchings
50,"6'9""",Stromile Swift
51,"6'7""",Vincent Yarbrough
52,"6'9""",Tayshaun Prince
53,"6'11""",Jules Camara
54,"6'7""",Josh Howard
55,"6'9""",Carlos Boozer
56,"6'8""",Travis Watson
57,"6'2""",Jay Williams
58,"6'9""",Brian Cook
59,"6'7""",LaVell Blanchard
60,"6'4""",Gary Buchanan
61,"6'6""",Matt Carroll
62,"6'1""",Troy Bell
63,"6'8""",Rod Grizzard
64,"6'9""",Larry Satchell
65,"6'10""",Marcus Haislip
66,"6'6""",Bernard Robinson
67,"6'2""",Jitim Young
68,"6'3""",Julius Page
69,"6'7""",Bryant Matthews
70,"6'8""",Mike Sweetney
71,"5'10""",Andre Barrett
72,"6'10""",Darius Rice
73,"6'7""",Chris Daniels
74,"6'9""",Marquis Estill
75,"6'8""",Kyle Davis
76,"6'3""",Daniel Ewing
77,"6'4""",BJ Elder
78,"6'9""",Jawad Williams
79,"6'7""",Julius Hodge
80,"6'8""",Michael Wilkinson
