@relation master

@attribute 'First Name' {Jahlil,Myles,Joshua,Karl,Stanley,Justise,Trey,Ben,Jaylen,Marquese,Zion,Jalen,Jamison,Manny,Onyeka,Akok,Isaiah,Trayce,Precious,Dangelo,Devin,Brandon,Jamal,Anthony,Kihei,Caleb,Max,Keaston,Tyger,Carlos,Talon,Yuri,Nico,Jordan,Carsen,Kevin,Juan,Kris,Darius,Chris,Lonny,David,Preston,Troy,Udonis,Tony,Stromile,Vincent,Tayshaun,Jules,Josh,Travis,Jay,Brian,Lavell,Gary,Matt,Rod,Larry,Marcus,Bernard,Jitim,Julius,Bryant,Mike,Andre,Marquis,Kyle,Daniel,Bj,Jawad,Michael,Terence,Vedran,Ricky,Hakim,Ryan,Chuck,Jj,Nik,Justin,Rashad,Eric,Shelden,Jeff,Greg,Maurice,Adam,Paul,Dee,Alando,Carl,Curtis,Craig,Randy,Allan,Gerry,Julian,Jr,Al,Dion,Quincy,Renaldo,Jermareo,James,Cliff,Jack,Toney,Sean,Drew,Geary,Glen,Randolph,Charles,Joakim,Darian,Steven,Kc,Ad,Tyrese,Tyler,Jamelle,Terrence,Sharaud,Wesley,Dominic,Sam,Jerel,Garrett,Richard,Korvotney,Deon,Jon,Wayne,Trevor,Greivis,Deshawn,Raymar,Eugene,Jerome,Lazar,Deonta,Dasean,Scottie,Luke,Albert,Perry,Jarvis,Malcolm,Nolan,Evan,Demetri,Robbie,Jajuan,Kalin,Etwaun,Talor,Marshon,Corey,Austin,Dominique,Jeremy,Delvon,Alex,Aj,Patrick,Draymond,William,John,Darryl,Ashton,Kemba,Terrance,Storm,Festus,Jamychal,Mason,Durand,Erick,Tim,Christian,Kenny,Reginald,Joe,Keith,Deshaun,Roy,Dj,Edwin,Cleveland,Bryce,Donte,Patric,Quinn,Tre,Aaron,Darrun,Jayvaughn,Ladontae,Hunter,Tj,Olivier,Brice,Shavon,Denzel,Kellen,Dvauntes,Gavin,Nerlens,Asauhn,Laimonas,Armani,Willie,Jamel,Kennedy,Jaron,Peter,Zak,Nigel,Billy,Bobby,Sebastian,Damian,Jimmie,Moses,Grayson,Bonzie,Joel,Jaesean,Isaac,Shep,Vince,Melo,Nate,Phil,Angel,Desi,Khadeen,Kelan,Trevon,Yante,Glynn,Ethan,Eli,Jessie,Derek,Horace,Aric,Kevarrius,Donta,Tyus,Ky,Cassius,Lamar,Alpha,Shamorie,Kamar,Markus,Adrio,Clevon,Robert,Grant,Anfernee,Luka,Nicolas,Abdul,Doug,Frank,Casey,Nick,Dan,Sherron,Dejuan,Andrew,Shane,Emeka,Ty,Jameer,Carmelo,Dwyane,Blake,Stephen,Jason,Kawhi}
@attribute 'Last Name' {Okafor,Turner,Morgan,Anthony,Johnson,Winslow,Lyles,Simmons,Brown,Chriss,Williamson,Smith,Battle,Bates,Okongwu,Akok,Stewart,Jackson,Achiuwa,Russell,Booker,Ingram,Murray,Cowan,Clark,Hunter,Edwards,Abmas,Willis,Campbell,Paez,Cooper,Collins,Mannion,Lyons,Durant,Dixon,Lang,Grundy,Songaila,Williams,Baxter,Braswell,Graves,Shumpert,Murphy,Haslem,Kitchings,Swift,Yarbrough,Prince,Camara,Howard,Boozer,Watson,Cook,Blanchard,Buchanan,Carroll,Bell,Grizzard,Satchell,Haislip,Robinson,Young,Page,Matthews,Sweetney,Barrett,Rice,Daniels,Estill,Davis,Ewing,Elder,Hodge,Wilkinson,Hill,Dials,Vukusic,Shields,Gordon,Warrick,Gomes,Thomas,Crump,Lee,Hayes,Redick,Caner,Gray,Mccants,Horner,Brunner,Ager,Haluska,Horton,Tucker,Bowman,Krauser,Sumpter,Pittsnogle,Foye,Ray,Mcnamara,Terrell,Reynolds,Thornton,Harris,Douby,Bass,Balkman,Davidson,Wallace,Gist,Hammonds,Mcclinton,Douglas,Singletary,Neitzel,Claxton,Morris,Rhodes,Noah,Horford,Townes,Rivers,Vassallo,Hansbrough,Cornley,Adrien,Curry,Devendorf,James,Mcneal,Temple,Hendrix,Barber,Thompson,Scheyer,Ellington,Vasquez,Sims,Harvey,Dyson,Hayward,Vaughn,Butler,Harangody,Washington,Chism,Stevenson,Varnado,Scott,Delaney,Allen,Singler,Diebler,Mccamey,Hummel,Lucas,Moore,Brooks,Fisher,Freeman,Jones,Hazell,Tyus,Ogilvy,Patterson,Muldrow,Zeller,Green,Taylor,Gatens,Buford,Shurna,Bryant,Gibbs,Walker,Miller,Henry,Thompkins,Warren,Ezeli,Snaer,Plumlee,Frazier,Paul,Watford,Crawford,Triche,Gabriel,Buckner,Mckie,Appling,Hardaway,Devyn,Newbill,Fuquan,Melvin,Cotton,Brogdon,Demps,Hollins,White,Hilliard,Pinkston,Henton,Harrison,Mickelson,Hanlan,Georges-Hunt,Paige,Hammons,Valentine,Ferrell,Dunham,Arcidiacono,Ware,Carrera,Noel,Chatkevicius,Cauley,Artis,Meeks,Blossomgame,Jok,Irvin,Garrett,Hart,Portis,Saiz,Kornet,Mickey,Kingsley,Colson,Berry,Tate,Haas,Garner,Trimble,Mcintosh,Mason,Booth,Delgado,Rodriguez,Carrington,Martin,Bluiett,Maten,Maye,Watsonjr,Happ,Cain,Govan,Brunson,Ogbeide,Nebo,Spencer,Alexander,Silva,Holman,Hall,Winston,Stevens,Diallo,Ponds,Baldwin,Powell,Bailey,Wiley,Mclemore,Garza,Gafford,Ado,Guy,Mcdermott,Kaminsky,Brewer,Jacobsen,Lofton,Roy,Simien,Fazekas,Dickau,Collison,Kaman,Gooden,Love,West,May,Blair,Morsell,Oden,Bogut,Beasley,Battier,Ford,Lawson,Wall,Morrison,Nelson,Wade,Griffin,Leonard}
@attribute 'Height in Inches' numeric
@attribute 1done {Yes,No}
@attribute 'Freshman Year' numeric
@attribute School {Duke,Texas,'Long Beach State',Kentucky,Arizona,LSU,California,Washington,Maryland,'George Washington','NC State',USC,UConn,Siena,Indiana,Memphis,'Ohio State',Clemson,Virginia,'Mississippi Valley State','Missouri State','Oral Roberts','Incarnate Word',UCLA,'Austin Peay','Morehead State','Saint Louis',Furman,Purdue,UNC,'Wake Forest','Ball State',Georgetown,'Notre Dame',Syracuse,Florida,'South Carolina',Tennessee,Illinois,Michigan,Villanova,'Boston College',Alabama,Arkansas,Northwestern,Pitt,'Virginia Tech','Seton Hall','Miami FL',Georgia,Auburn,'Georgia Tech',Wisconsin,Mercer,Rutgers,Providence,'Florida Atlantic',Iowa,'Michigan State','Iowa State',Jacksonville,'West Virginia',Vanderbilt,'Eastern Illinois','Florida State','Penn State','Mississippi State',Louisville,Marquette,Dayton,Cincinnati,'Eastern Kentucky','High Point','South Florida','Western Illinois',Bradley,'Ole Miss','Central Arkansas',UTEP,'Southern Miss',DePaul,Minnesota,'Texas A&amp;M-Corpus Christi','St. Johns NY',Nebraska,Butler,'Central Michigan',Xavier,Dartmouth,'Saint Francis PA',Creighton,Stanford,Kansas,Nevada,Utah,'Kansas State',Gonzaga,'St. Josephs',Oklahoma,Davidson,Marshall,'San Diego State'}
@attribute Conference {ACC,'Big 12','Big West',SEC,Pac-12,'Big Ten',A-10,AAC,MAAC,SWAC,MVC,Summit,Southland,OVC,Southern,MAC,'Big East',TAAC,A-Sun,'Sun Belt','Big South',WAC,CUSA,Ind,Ivy,NEC,Pac-10,MWC,WCC}
@attribute 'Games Played' numeric
@attribute 'Games Started' numeric
@attribute 'Minutes Played per Game' numeric
@attribute 'Field Goals per Game' numeric
@attribute 'Field Goals Attempted per Game' numeric
@attribute 'Field Goals \%' numeric
@attribute '2-Pointers per Game' numeric
@attribute '2-Pointers Attempted per Game' numeric
@attribute '2-Pointers \%' numeric
@attribute '3-Pointers per Game' numeric
@attribute '3-Pointers Attempted per game' numeric
@attribute '3-Pointer \%' numeric
@attribute 'Free Throws per Game' numeric
@attribute 'Free Throws Attempted per Game' numeric
@attribute 'Free Throw \%' numeric
@attribute 'Offensive Rebounds per Game' numeric
@attribute 'Defensive Rebounds per Game' numeric
@attribute 'Total Rebounds per game' numeric
@attribute 'Assists per Game' numeric
@attribute 'Steals per Game' numeric
@attribute 'Blocks per Game' numeric
@attribute 'Turnovers per Game' numeric
@attribute 'Fouls per Game' numeric
@attribute 'Points per Game' numeric
@attribute 'Strength of Season' numeric

@data
Jahlil,Okafor,83,Yes,2014,Duke,ACC,38,38,30.1,7.3,11.1,0.664,7.3,11.1,0.664,0,0,?,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,9.87
Myles,Turner,83,Yes,2014,Texas,'Big 12',34,7,22.2,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,0.274,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,9.07
Joshua,Morgan,83,Yes,2019,'Long Beach State','Big West',32,29,26.4,3.6,5.8,0.622,3.6,5.8,0.625,0,0,0,1.3,2.1,0.588,1.8,4.3,6.1,0.9,0.5,2.5,1.6,2.6,8.4,1.08
Karl,Anthony,83,Yes,2014,Kentucky,SEC,39,39,21.1,3.7,6.6,0.566,3.7,6.4,0.577,0.1,0.2,0.25,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,8.67
Stanley,Johnson,78,Yes,2014,Arizona,Pac-12,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,7.41
Justise,Winslow,78,Yes,2014,Duke,ACC,39,39,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4,0.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,9.87
Trey,Lyles,82,Yes,2014,Kentucky,SEC,36,21,23,3.3,6.7,0.488,3.1,5.9,0.536,0.1,0.8,0.138,2.1,2.8,0.735,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,8.67
Ben,Simmons,82,Yes,2015,LSU,SEC,33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0,0.1,0.333,6,9,0.67,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,7
Jaylen,Brown,79,Yes,2015,California,Pac-12,34,34,27.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2,0.8,0.6,3.1,3.2,14.6,7.87
Marquese,Chriss,81,Yes,2015,Washington,Pac-12,34,34,24.9,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,0.35,2.6,3.8,0.682,2.5,2.9,5.4,0.8,0.9,1.6,2,4.1,13.7,8.12
Zion,Williamson,79,Yes,2018,Duke,ACC,33,33,30,9,13.2,0.68,8.2,11,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,11.98
Jalen,Smith,82,No,2018,Maryland,'Big Ten',33,33,26.7,4.4,8.9,0.492,3.8,6.8,0.563,0.6,2.2,0.268,2.3,3.5,0.658,2.7,4.1,6.8,0.9,0.4,1.2,1.2,2,11.7,10.09
Jamison,Battle,79,Yes,2019,'George Washington',A-10,32,30,35.3,3.8,9.6,0.399,1,2,0.524,2.8,7.6,0.366,1.4,1.6,0.846,0.4,4.8,5.2,0.6,0.4,0.4,1.1,2.2,11.8,0.92
Manny,Bates,83,Yes,2019,'NC State',ACC,29,26,18.4,2.2,3.4,0.657,2.2,3.4,0.657,0,0,?,0.6,1.3,0.486,1.7,2.3,4,0.3,0.4,2.9,0.6,2.6,5.1,7.14
Onyeka,Okongwu,81,Yes,2019,USC,Pac-12,28,28,30.6,6.3,10.1,0.616,6.2,10,0.621,0,0.1,0.25,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2,2.7,16.2,7.22
Akok,Akok,81,Yes,2019,UConn,AAC,25,24,28,2.3,5.5,0.413,1.8,3.7,0.489,0.5,1.8,0.261,0.8,1.3,0.594,1.3,4.2,5.5,0.4,0.4,2.6,1,1.6,5.8,5.34
Isaiah,Stewart,75,No,2010,Siena,MAAC,29,?,?,1,3.1,0.333,0.4,1.4,0.325,0.6,1.7,0.34,0.3,0.3,0.889,?,?,1,0.7,0.3,0.2,?,?,2.9,-2.95
Trayce,Jackson,81,Yes,2019,Indiana,'Big Ten',32,32,29.3,5,8.8,0.566,5,8.8,0.566,0,0,?,3.6,5.3,0.685,3,5.4,8.4,1.2,0.7,1.8,1.3,2,13.5,10.35
Precious,Achiuwa,81,Yes,2019,Memphis,AAC,31,31,30.4,5.9,11.9,0.493,5.5,10.6,0.514,0.4,1.3,0.325,3.6,6,0.599,3,7.8,10.8,1,1.1,1.9,2.8,2.4,15.8,5.07
Dangelo,Russell,77,Yes,2014,'Ohio State','Big Ten',35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.411,3.4,4.5,0.756,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3,7.37
Devin,Booker,80,No,2014,Clemson,ACC,32,1,11.6,1.9,3.3,0.561,1.9,3.3,0.566,0,0,0,0.8,1.4,0.533,1.1,1.8,2.9,0.3,0.4,0.1,0.9,1.3,4.5,7.9
Brandon,Ingram,81,Yes,2015,Duke,ACC,36,34,34.6,5.9,13.4,0.442,3.7,8,0.464,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2,1.1,1.4,2,2.1,17.3,10.59
Jamal,Murray,77,Yes,2015,Kentucky,SEC,36,36,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,8.84
Anthony,Cowan,72,No,2016,Maryland,'Big Ten',33,33,29,2.9,6.9,0.424,2.2,4.5,0.48,0.8,2.5,0.321,3.6,4.7,0.769,0.9,3,3.9,3.7,1.2,0.2,2.3,2,10.3,8.29
Kihei,Clark,69,No,2018,Virginia,ACC,38,20,26.8,1.4,4.1,0.35,0.7,1.9,0.361,0.8,2.2,0.341,0.9,1.1,0.825,0.4,1.9,2.3,2.6,0.7,0,1,1.4,4.5,10.15
Caleb,Hunter,71,Yes,2019,'Mississippi Valley State',SWAC,28,27,31.6,5.5,16.6,0.332,2.9,7.3,0.4,2.6,9.3,0.278,2.1,3.6,0.584,0.6,2.2,2.9,2.3,1.4,0,2.5,2.1,15.7,-7.68
Anthony,Edwards,73,No,2019,'Missouri State',MVC,23,0,8,0.8,1.7,0.462,0.7,1.4,0.455,0.1,0.3,0.5,0.4,0.7,0.6,?,?,1,0.8,0.4,0,0.7,0.6,2.1,-1.09
Max,Abmas,73,Yes,2019,'Oral Roberts',Summit,31,31,29.5,5.1,12.4,0.411,2.3,4.7,0.486,2.8,7.7,0.366,1.4,1.7,0.83,0.4,1.8,2.2,1.4,1,0.2,1,1.6,14.4,-1.58
Keaston,Willis,75,Yes,2019,'Incarnate Word',Southland,31,27,31,4.3,11.5,0.372,1.7,4.1,0.413,2.6,7.5,0.349,2.1,2.7,0.765,0.5,2.3,2.7,1,0.8,0.1,1.3,1.7,13.3,-6.85
Tyger,Campbell,71,Yes,2019,UCLA,Pac-12,31,31,30,2.8,7.8,0.358,2,4.9,0.412,0.8,2.9,0.267,1.9,2.8,0.674,0.6,1.7,2.4,5,0.8,0,1.8,2,8.3,8.23
Carlos,Paez,70,Yes,2019,'Austin Peay',OVC,33,19,24.6,1.8,4.8,0.376,0.9,2.3,0.408,0.8,2.5,0.346,2,2.3,0.882,0.3,1.5,1.8,3.5,1.3,0,1.3,2.4,6.5,-4.14
Talon,Cooper,76,Yes,2019,'Morehead State',OVC,30,7,23.2,2.2,4.9,0.452,1.2,2.2,0.53,1,2.7,0.388,1.5,1.9,0.807,0.6,2.3,2.8,3.1,0.9,0.3,1.2,1.4,7,-6.42
Yuri,Collins,72,Yes,2019,'Saint Louis',A-10,31,27,31.3,1.8,4.8,0.373,1.5,3.9,0.375,0.4,1,0.367,1.4,2.5,0.564,0.4,2.5,2.8,5.5,1.5,0,3.2,2.5,5.4,3.07
Nico,Mannion,75,Yes,2019,Arizona,Pac-12,32,32,32.3,4.5,11.5,0.392,2.8,6.4,0.444,1.7,5.1,0.327,3.3,4.2,0.797,0.3,2.3,2.5,5.3,1.2,0,2.6,1.7,14,8.4
