id,fname,lname,ht,_done,f_yr,school,conf,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Jahlil Okafor,Jahlil,Okafor,"6'11""",Yes,2014-15,Duke,ACC,38,38,30.1,7.3,11.1,0.664,7.3,11.1,0.664,0,0,,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,,9.87
Myles Turner,Myles,Turner,"6'11""",Yes,,Texas,Big 12,34,7,22.2,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,0.274,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,,9.07
Joshua Morgan,Joshua,Morgan,"6'11""",Yes,2019-20,Long Beach State,Big West,32,29,26.4,3.6,5.8,0.622,3.6,5.8,0.625,0,0,0,1.3,2.1,0.588,1.8,4.3,6.1,0.9,0.5,2.5,1.6,2.6,8.4,,1.08
Karl Anthony,Karl,Anthony,"6'11""",Yes,,Kentucky,SEC,39,39,21.1,3.7,6.6,0.566,3.7,6.4,0.577,0.1,0.2,0.25,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,,8.67
Stanley Johnson,Stanley,Johnson,"6'6""",Yes,2014-15,Arizona,Pac-12,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,7.41
Justise Winslow,Justise,Winslow,"6'6""",Yes,,Duke,ACC,39,39,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4,0.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,,9.87
Trey Lyles,Trey,Lyles,"6'10""",Yes,2014-15,Kentucky,SEC,36,21,23,3.3,6.7,0.488,3.1,5.9,0.536,0.1,0.8,0.138,2.1,2.8,0.735,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,,8.67
Ben Simmons,Ben,Simmons,"6'10""",Yes,,LSU,SEC,33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0,0.1,0.333,6,9,0.67,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,,7
Jaylen Brown,Jaylen,Brown,"6'7""",Yes,,California,Pac-12,34,34,27.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2,0.8,0.6,3.1,3.2,14.6,,7.87
Marquese Chriss,Marquese,Chriss,"6'9""",Yes,,Washington,Pac-12,34,34,24.9,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,0.35,2.6,3.8,0.682,2.5,2.9,5.4,0.8,0.9,1.6,2,4.1,13.7,,8.12
Zion Williamson,Zion,Williamson,"6'7""",Yes,2018-19,Duke,ACC,33,33,30,9,13.2,0.68,8.2,11,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,,11.98
Jalen Smith,Jalen,Smith,"6'10""",No,2018-19,Maryland,Big Ten,33,33,26.7,4.4,8.9,0.492,3.8,6.8,0.563,0.6,2.2,0.268,2.3,3.5,0.658,2.7,4.1,6.8,0.9,0.4,1.2,1.2,2,11.7,,10.09
Jamison Battle,Jamison,Battle,"6'7""",Yes,2019-20,George Washington,A-10,32,30,35.3,3.8,9.6,0.399,1,2,0.524,2.8,7.6,0.366,1.4,1.6,0.846,0.4,4.8,5.2,0.6,0.4,0.4,1.1,2.2,11.8,,0.92
Manny Bates,Manny,Bates,"6'11""",Yes,2019-20,NC State,ACC,29,26,18.4,2.2,3.4,0.657,2.2,3.4,0.657,0,0,,0.6,1.3,0.486,1.7,2.3,4,0.3,0.4,2.9,0.6,2.6,5.1,,7.14
Onyeka Okongwu,Onyeka,Okongwu,"6'9""",Yes,2019-20,USC,Pac-12,28,28,30.6,6.3,10.1,0.616,6.2,10,0.621,0,0.1,0.25,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2,2.7,16.2,,7.22
Akok Akok,Akok,Akok,"6'9""",Yes,2019-20,UConn,AAC,25,24,28,2.3,5.5,0.413,1.8,3.7,0.489,0.5,1.8,0.261,0.8,1.3,0.594,1.3,4.2,5.5,0.4,0.4,2.6,1,1.6,5.8,,5.34
Isaiah Stewart,Isaiah,Stewart,"6'3""",No,,Siena,MAAC,29,,,1,3.1,0.333,0.4,1.4,0.325,0.6,1.7,0.34,0.3,0.3,0.889,,,1,0.7,0.3,0.2,,,2.9,,-2.95
Trayce Jackson,Trayce,Jackson,"6'9""",Yes,2019-20,Indiana,Big Ten,32,32,29.3,5,8.8,0.566,5,8.8,0.566,0,0,,3.6,5.3,0.685,3,5.4,8.4,1.2,0.7,1.8,1.3,2,13.5,,10.35
Precious Achiuwa,Precious,Achiuwa,"6'9""",Yes,2019-20,Memphis,AAC,31,31,30.4,5.9,11.9,0.493,5.5,10.6,0.514,0.4,1.3,0.325,3.6,6,0.599,3,7.8,10.8,1,1.1,1.9,2.8,2.4,15.8,,5.07
Dangelo Russell,Dangelo,Russell,"6'5""",Yes,,Ohio State,Big Ten,35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.411,3.4,4.5,0.756,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3,,7.37
